novelID,title,view,good,description,tags,thumbnailURL
93020,히어로가 집착하는 악당이 되었다,17783867,1138699,히어로물 속 악당이 되었다.\n그래서 주인공과 싸우다가 이제 그만두려 했는데.\n그녀가 나한테 집착한다. 어째서...?,#현대판타지/#착각/#후회/#집착/#피폐/#히어로,https://image.novelpia.com/imagebox/cover/4fb942c683444cfe554f786ef61f2e16_446525_ori.wimg
97213,아카데미에 오랑캐가 입학했다,2437013,284484,"가끔 하던 게임에 빙의당해버렸다.\n그것도 하필 배드엔딩뿐인 야만 민족의 여전사로.\n좋아, 탈주하자.\n#fztt 작가님께서 공식 표지를 만들어 주셨습니다!! 너무 멋진 표지를 제공해주신 fztt 작가님과 노벨피아에게 감사드립니다!",#판타지/#TS/#아카데미/#착각/#빙의/#노맨스/#유혈/#약피폐,https://image.novelpia.com/imagebox/cover/2390649adfe218b3d77e97a1fc136d09_428153_ori.wimg
6269,용사 파티 때려치웁니다,16080712,1008884,나 없이 잘 먹고 잘 사나 보자.,#판타지/#TS/#아카데미/#먼치킨,https://image.novelpia.com/imagebox/cover/f636f1f08147f05e291296e79ba74726_390878_ori.wimg
109758,천마님 방송하신다,2627644,188650,귀환했다하여 제 버릇을 남에게 넘길 순 없었다. 천마는 여전히 무인이었다.\n[매일 18:05분에 연재됩니다],#현대/#무협/#TS/#인터넷방송/#천마/#가상현실,https://image.novelpia.com/imagebox/cover/e173a501c4a55d8c2afaaa6e3ac20d1f_479574_ori.wimg
191516,최애겜이 두 번 섭종했다,413699,30957,"최애겜이 섭종한 다음 날 여자가 되었다.\n신이 준 기회라 여기고 최애겜의 섭종을 막기 위해 스트리머가 되었다.\n그리고 최애겜은 또 섭종했다.\n...이제 뭐함?\n[해당 표지, 그리고 삽화는 AI가 찍어낸 짤을 직접 리터칭한 일러스트입니다. 상업적 이용이 가능합니다.]",#현대/#일상/#써줘용/#TS/#인터넷방송/#천재/#먼치킨/#노맨스,https://image.novelpia.com/imagebox/cover/bc69fd3471d690d53e12506c36627321_357029_ori.wimg
196993,용사 말고 파티원들만 회귀했다,345757,19706,어제까지만 해도 병신 취급하던 파티원들이 갑자기 잘 해준다.\n(Web UI로 제작된 표지입니다. 상업적 이용 가능하며 책임은 작가에게 있습니다.),#판타지/#회귀/#후회/#성장/#피폐/#용사/#환생,https://image.novelpia.com/imagebox/cover/93543463d6c836f8c39772a137574b4c_370361_ori.wimg
141111,아카데미의 순애 흑기사,2389786,172878,"게임의 후속작은 대부분 전작보다 못했다.\n숨겨진 해피엔딩을 보고 싶었을 뿐이었는데,\n이제는 아카데미에서 러브라인을 이어야 한다.\n─ 그녀의 행복을 위해서, 존재하는 모든 사랑을 지켜주세요.\n*표지는 외주작으로, 원 저작권자인 '미라주'님의 허락을 받았습니다.",#로맨스/#판타지/#라이트노벨/#순애/#아카데미/#게임/#빙의/#로맨스판타지/#착각,https://image.novelpia.com/imagebox/cover/7d6d186be4bc1a1d1dd1d4a20a8a78c9_283963_ori.wimg
198291,아카데미 관통 창술사가 되었다,199491,10592,최종보스에 멸망예정인 게임 속 세계를 구해야만 집에 돌아갈 수 있다.\n그런데.\n[…을 관통했습니다.]\n특전으로 선택한 스킬이 뭔가 이상하다.\n*해당 일러스트는 webUi로 만들어졌으며 문제 발생시 책임은 작가에게 있습니다.\n타이포는 블런디님이 만들어주셨습니다!\n연재시각은 오후 10시입니다,#판타지/#하렘/#아카데미/#착각/#게임/#빙의/#성장,https://image.novelpia.com/imagebox/cover/929722ac2c5d1683076e64b347b4f494_500560_ori.wimg
41583,용사 아카데미의 삼류 악역이 되었다,4182940,242720,즐겨하던 게임의 모든 루트에서 죽는 외모원툴 삼류 악역으로 빙의했다.\n살고 싶다.\n※매일 오후 8~12시 사이에 업로드됩니다.,#판타지/#라이트노벨/#하렘/#로맨스/#아카데미/#집착/#착각/#빙의/#후회/#성장,https://image.novelpia.com/imagebox/cover/fe03a73e0299152f5abb8950b862d6b5_521303_ori.wimg
50356,[삼국지]병주일지(并州日誌),9812698,765171,이민족 선정 '가장 살기 좋은 땅' 병주.\n그곳에서 난 태어날 시기를 잘못 고른 아이를 데려온 것 같다.,#대체역사/#하렘/#삼국지/#연희/#느린전개,https://image.novelpia.com/imagebox/cover/7427fac50ba73a5a8e183632bba15d14_153546_ori.wimg
197882,금태양 몸에 먼치킨 틀딱법사가 빙의함,402741,20671,"우리 학원엔 더럽게 쓸모없는 금태양 새끼가 하나 있다.\n""나때는 이 정도는 다 했는데. 요새 젊은이들은 마법 가지고 싸울줄을 모르는 구만.""\n어느날 이 새끼가 너무 강해졌다.\n표지는 novel ai로 만든 것입니다! 문제시 책임은 작가에게 있습니다!",#판타지/#현대/#하렘/#아카데미/#후회/#집착/#먼치킨/#금태양,https://image.novelpia.com/imagebox/cover/21d88baab6e85041cd411baecdf3b84d_399932_ori.wimg
